"1.","Counter-Strike: Global Offensive","785,506","1,167,926","1,320,219"
"2.","Dota 2","356,601","586,637","1,295,114"
"3.","Apex Legends","314,210","591,660","610,433"
"4.","PUBG: BATTLEGROUNDS","240,021","452,174","3,257,248"
"5.","Hogwarts Legacy","228,129","474,914","879,308"
"6.","Lost Ark","139,799","187,044","1,325,305"
"7.","Grand Theft Auto V","99,312","136,320","364,548"
"8.","Wallpaper Engine","87,021","107,398","147,019"
"9.","Call of Duty®: Modern Warfare® II | Warzone™ 2.0","85,319","143,553","491,670"
"10.","NARAKA: BLADEPOINT","84,792","130,349","187,468"
"11.","Team Fortress 2","83,798","100,622","167,951"
"12.","Rust","71,524","117,234","245,243"
"13.","Unturned","60,039","93,153","112,703"
"14.","War Thunder","51,679","76,500","98,137"
"15.","Yu-Gi-Oh! Master Duel","49,396","51,457","262,689"
"16.","Goose Goose Duck","47,020","240,216","702,845"
"17.","Destiny 2","43,608","80,412","292,513"
"18.","Warframe","42,803","59,531","189,837"
"19.","Football Manager 2023","42,057","65,664","83,715"